,Coordinates,AR_coordinates,loop_len,stem_len
0,1029-1038,1014-1053,0,4
1,1659-1668,1644-1683,0,4
2,1734-1743,1719-1758,0,4
3,2063-2072,2048-2087,0,4
4,2365-2374,2350-2389,0,4
5,2733-2742,2718-2757,0,4
6,2765-2774,2750-2789,0,4
7,2901-2910,2886-2925,0,4
8,3124-3133,3109-3148,0,4
9,3131-3140,3116-3155,0,4
10,251-261,236-276,1,4
11,403-413,388-428,1,4
12,530-540,515-555,1,4
13,668-678,653-693,1,4
14,673-683,658-698,1,4
15,1012-1022,997-1037,1,4
16,1029-1038,1014-1053,1,4
17,1190-1200,1175-1215,1,4
18,1234-1244,1219-1259,1,4
19,1301-1311,1286-1326,1,4
20,1659-1668,1644-1683,1,4
21,1734-1743,1719-1758,1,4
22,1840-1850,1825-1865,1,4
23,2063-2072,2048-2087,1,4
24,2234-2244,2219-2259,1,4
25,2365-2374,2350-2389,1,4
26,2507-2517,2492-2532,1,4
27,2733-2742,2718-2757,1,4
28,2765-2774,2750-2789,1,4
29,2901-2910,2886-2925,1,4
30,3014-3024,2999-3039,1,4
31,3124-3133,3109-3148,1,4
32,3131-3140,3116-3155,1,4
33,14-25,-1-40,2,4
34,74-85,59-100,2,4
35,251-261,236-276,2,4
36,403-413,388-428,2,4
37,530-540,515-555,2,4
38,668-678,653-693,2,4
39,673-683,658-698,2,4
40,1012-1022,997-1037,2,4
41,1095-1106,1080-1121,2,4
42,1190-1200,1175-1215,2,4
43,1234-1244,1219-1259,2,4
44,1301-1311,1286-1326,2,4
45,1382-1393,1367-1408,2,4
46,1401-1412,1386-1427,2,4
47,1840-1850,1825-1865,2,4
48,2234-2244,2219-2259,2,4
49,2507-2517,2492-2532,2,4
50,2655-2666,2640-2681,2,4
51,2712-2723,2697-2738,2,4
52,2756-2767,2741-2782,2,4
53,3014-3024,2999-3039,2,4
54,14-25,-1-40,3,4
55,74-85,59-100,3,4
56,1095-1106,1080-1121,3,4
57,1382-1393,1367-1408,3,4
58,1401-1412,1386-1427,3,4
59,1707-1719,1692-1734,3,4
60,1878-1890,1863-1905,3,4
61,1946-1958,1931-1973,3,4
62,2509-2521,2494-2536,3,4
63,2655-2666,2640-2681,3,4
64,2712-2723,2697-2738,3,4
65,2756-2767,2741-2782,3,4
66,2937-2949,2922-2964,3,4
67,3001-3013,2986-3028,3,4
68,3073-3085,3058-3100,3,4
69,3120-3132,3105-3147,3,4
70,181-194,166-209,4,4
71,382-395,367-410,4,4
72,450-463,435-478,4,4
73,496-509,481-524,4,4
74,625-638,610-653,4,4
75,638-651,623-666,4,4
76,750-763,735-778,4,4
77,783-796,768-811,4,4
78,1041-1054,1026-1069,4,4
79,1059-1072,1044-1087,4,4
80,1304-1317,1289-1332,4,4
81,1433-1446,1418-1461,4,4
82,1707-1719,1692-1734,4,4
83,1801-1814,1786-1829,4,4
84,1878-1890,1863-1905,4,4
85,1946-1958,1931-1973,4,4
86,2509-2521,2494-2536,4,4
87,2516-2529,2501-2544,4,4
88,2768-2781,2753-2796,4,4
89,2937-2949,2922-2964,4,4
90,3001-3013,2986-3028,4,4
91,3044-3057,3029-3072,4,4
92,3073-3085,3058-3100,4,4
93,3120-3132,3105-3147,4,4
